country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","10-10-2025 22:00:00",16.5150833,80.5181667,PM10,48,124,71
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","10-10-2025 22:00:00",16.5150833,80.5181667,OZONE,6,25,17
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","10-10-2025 22:00:00",14.675886,77.593027,NH3,4,4,4
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","10-10-2025 22:00:00",14.675886,77.593027,SO2,13,15,14
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","10-10-2025 22:00:00",13.204880,79.097889,NH3,6,10,7
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","10-10-2025 22:00:00",26.10887,91.589544,CO,24,141,30
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","10-10-2025 22:00:00",26.10887,91.589544,OZONE,15,17,16
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","10-10-2025 22:00:00",26.181742,91.78063,PM2.5,43,133,77
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","10-10-2025 22:00:00",26.181742,91.78063,NO2,3,3,3
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","10-10-2025 22:00:00",16.536107,80.594233,OZONE,8,26,26
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","10-10-2025 22:00:00",16.509717,80.612222,NO2,13,60,34
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","10-10-2025 22:00:00",16.509717,80.612222,CO,26,38,36
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","10-10-2025 22:00:00",16.509717,80.612222,OZONE,21,39,33
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","10-10-2025 22:00:00",16.9872867,81.7363176,NO2,9,35,18
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","10-10-2025 22:00:00",13.67,79.35,PM10,15,84,58
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","10-10-2025 22:00:00",13.67,79.35,NO2,9,20,16
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","10-10-2025 22:00:00",17.72,83.3,PM10,78,206,140
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","10-10-2025 22:00:00",27.103358,93.679645,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","10-10-2025 22:00:00",14.465052,78.824187,PM10,46,47,46
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","10-10-2025 22:00:00",14.465052,78.824187,NO2,12,21,15
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","10-10-2025 22:00:00",11.654054,92.734055,NH3,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","10-10-2025 22:00:00",13.615387,79.409230,OZONE,33,36,34
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","10-10-2025 22:00:00",14.465052,78.824187,CO,22,36,27
India,Assam,Guwahati,"IITG, Guwahati - PCBA","10-10-2025 22:00:00",26.2028636,91.70046436,NO2,1,5,3
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","10-10-2025 22:00:00",26.146529,87.454184,NO2,2,79,24
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","10-10-2025 22:00:00",26.146529,87.454184,NH3,5,5,5
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","10-10-2025 22:00:00",25.5626095,84.663264,PM10,26,28,27
