latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
39.88316,98.54097,350.04,0.78,0.78,2025-09-29,0508,N20,nominal,2.0NRT,296.08,11.75,D
13.63273,100.20132,339.49,0.4,0.37,2025-09-29,0640,N20,nominal,2.0NRT,287.89,2.84,D
14.69504,100.32023,337.29,0.41,0.37,2025-09-29,0640,N20,nominal,2.0NRT,285.24,4.01,D
18.08102,98.61583,327.27,0.39,0.36,2025-09-29,0642,N20,nominal,2.0NRT,276.62,2.45,D
20.89533,96.87399,334.23,0.38,0.36,2025-09-29,0642,N20,nominal,2.0NRT,298.61,3.25,D
21.52261,98.23735,333,0.4,0.37,2025-09-29,0642,N20,nominal,2.0NRT,298.62,2.97,D
21.47084,95.49204,335.02,0.4,0.37,2025-09-29,0642,N20,nominal,2.0NRT,298.29,12.63,D
22.04839,98.0263,328.94,0.39,0.36,2025-09-29,0642,N20,nominal,2.0NRT,299.13,1.3,D
22.70806,99.19237,328.4,0.43,0.38,2025-09-29,0644,N20,nominal,2.0NRT,286.78,3.22,D
22.28527,95.03162,330.7,0.4,0.37,2025-09-29,0644,N20,nominal,2.0NRT,295.31,4.59,D
22.93949,97.64791,331.51,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,297.55,4.29,D
23.10056,98.73985,333.01,0.42,0.37,2025-09-29,0644,N20,nominal,2.0NRT,293.43,2.19,D
23.50792,99.37862,330.03,0.44,0.38,2025-09-29,0644,N20,nominal,2.0NRT,295.01,2.72,D
22.93696,94.06034,343.26,0.43,0.38,2025-09-29,0644,N20,nominal,2.0NRT,299.16,4.96,D
22.36271,87.30151,327.37,0.35,0.57,2025-09-29,0644,N20,nominal,2.0NRT,290.63,4.43,D
23.70771,94.20747,329.83,0.42,0.37,2025-09-29,0644,N20,nominal,2.0NRT,297.5,1.7,D
22.37675,87.28314,328.12,0.35,0.57,2025-09-29,0644,N20,nominal,2.0NRT,291.97,3.3,D
22.37604,87.27985,330.39,0.35,0.57,2025-09-29,0644,N20,nominal,2.0NRT,291.36,3.3,D
22.36296,87.02077,326.64,0.36,0.58,2025-09-29,0644,N20,nominal,2.0NRT,289.58,3.41,D
24.93461,99.35082,342.27,0.45,0.39,2025-09-29,0644,N20,nominal,2.0NRT,301.91,4.05,D
24.71183,97.44881,331.67,0.39,0.37,2025-09-29,0644,N20,nominal,2.0NRT,295.73,3.32,D
24.92907,97.09982,333.68,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,298.85,2.9,D
24.94622,97.10074,332.18,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,297.68,1.83,D
25.05747,97.09642,332.08,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,296.6,3.88,D
23.55837,87.24303,333.8,0.33,0.55,2025-09-29,0644,N20,nominal,2.0NRT,289.7,3.32,D
23.5577,87.23986,342.51,0.33,0.55,2025-09-29,0644,N20,nominal,2.0NRT,289.81,3.32,D
23.55688,87.23958,340.06,0.33,0.55,2025-09-29,0644,N20,nominal,2.0NRT,289.56,8.26,D
25.01823,94.11066,336.22,0.41,0.37,2025-09-29,0644,N20,nominal,2.0NRT,295.66,4.63,D
23.68149,86.39267,333.13,0.37,0.58,2025-09-29,0644,N20,nominal,2.0NRT,290.53,4.62,D
23.86166,86.91298,336.44,0.34,0.56,2025-09-29,0644,N20,nominal,2.0NRT,289.23,2.13,D
23.75987,86.40252,327.47,0.37,0.58,2025-09-29,0644,N20,nominal,2.0NRT,290.19,3.78,D
23.77922,86.39014,327.03,0.37,0.58,2025-09-29,0644,N20,nominal,2.0NRT,291.72,3.31,D
23.79742,86.35175,328.34,0.37,0.58,2025-09-29,0644,N20,nominal,2.0NRT,289.87,7.55,D
26.44609,101.52754,329.98,0.41,0.45,2025-09-29,0644,N20,nominal,2.0NRT,296.92,3.02,D
26.57015,101.67254,329.13,0.41,0.45,2025-09-29,0644,N20,low,2.0NRT,301.56,6.45,D
26.56446,101.67458,329.01,0.42,0.45,2025-09-29,0644,N20,low,2.0NRT,300.69,7.01,D
26.57639,101.66845,327.57,0.41,0.45,2025-09-29,0644,N20,low,2.0NRT,298.2,5.67,D
26.61895,101.59863,340.55,0.41,0.45,2025-09-29,0644,N20,nominal,2.0NRT,298.6,9.14,D
26.61852,101.59473,329.37,0.41,0.45,2025-09-29,0644,N20,low,2.0NRT,300.24,9.14,D
26.62306,101.59801,339.54,0.41,0.45,2025-09-29,0644,N20,nominal,2.0NRT,297.81,9.94,D
26.6226,101.59385,334.33,0.41,0.45,2025-09-29,0644,N20,nominal,2.0NRT,298.96,9.94,D
26.41745,95.69392,332.16,0.38,0.36,2025-09-29,0644,N20,nominal,2.0NRT,296.49,2.71,D
26.6484,95.66618,329.47,0.38,0.36,2025-09-29,0644,N20,nominal,2.0NRT,296.25,2.73,D
26.43731,92.16283,342.58,0.46,0.39,2025-09-29,0644,N20,nominal,2.0NRT,296.54,4.26,D
27.44465,97.9137,331.43,0.42,0.38,2025-09-29,0644,N20,nominal,2.0NRT,297.89,3.03,D
27.32955,95.99712,336.02,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,295.65,2.69,D
27.33285,95.9965,334.16,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,295.18,4.12,D
27.37609,95.33495,334.17,0.38,0.36,2025-09-29,0644,N20,nominal,2.0NRT,296.49,4.98,D
27.60482,96.29795,337.06,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,296.96,5.05,D
27.6075,96.29338,340.98,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,299.11,21.27,D
27.60741,96.26936,328.97,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,297.56,2.42,D
27.6163,96.28379,331.52,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,296.85,2.94,D
27.61574,96.2799,328.38,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,296.7,2.77,D
27.69311,96.29781,344.48,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,301,6.38,D
27.72371,96.27638,343.94,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,298.18,8.52,D
27.59359,95.3565,331.83,0.38,0.36,2025-09-29,0644,N20,low,2.0NRT,306.42,6.53,D
27.59746,95.35972,333.98,0.38,0.36,2025-09-29,0644,N20,low,2.0NRT,307.48,3.82,D
27.59687,95.35587,333.67,0.38,0.36,2025-09-29,0644,N20,low,2.0NRT,307.55,3.82,D
27.73752,96.27788,340.13,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,299.52,11.96,D
27.60075,95.35909,333.71,0.38,0.36,2025-09-29,0644,N20,low,2.0NRT,307.35,3.82,D
27.74538,96.30858,332.45,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,297.66,3.28,D
27.73285,96.10627,332.07,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,297.41,5.53,D
27.7554,96.0981,328.95,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,297.24,1.55,D
27.77175,96.16321,343.66,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,298.74,9.56,D
27.88506,96.80607,327.55,0.4,0.37,2025-09-29,0644,N20,nominal,2.0NRT,297.22,2.56,D
27.72618,95.49033,329.94,0.38,0.36,2025-09-29,0644,N20,low,2.0NRT,304.39,7.5,D
27.72384,95.47489,329.51,0.38,0.36,2025-09-29,0644,N20,low,2.0NRT,304.34,4.95,D
27.75716,95.51621,331.18,0.38,0.36,2025-09-29,0644,N20,low,2.0NRT,305.34,6.06,D
27.76803,95.56586,329.8,0.38,0.36,2025-09-29,0644,N20,low,2.0NRT,304.58,3.09,D
27.76745,95.56199,329.87,0.38,0.36,2025-09-29,0644,N20,low,2.0NRT,304.8,3.09,D
27.77381,95.5369,332.8,0.38,0.36,2025-09-29,0644,N20,low,2.0NRT,306.84,7.67,D
27.77323,95.53303,332.37,0.38,0.36,2025-09-29,0644,N20,low,2.0NRT,306.71,3.87,D
27.94852,96.7055,330.88,0.4,0.37,2025-09-29,0644,N20,nominal,2.0NRT,296.06,12.5,D
27.85085,95.98481,331.44,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,297.27,1.43,D
27.95792,96.67536,327.81,0.4,0.37,2025-09-29,0644,N20,nominal,2.0NRT,298.56,2.09,D
27.97004,96.21961,333.66,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,296.61,3.87,D
27.88586,95.55941,330.52,0.38,0.36,2025-09-29,0644,N20,low,2.0NRT,304.75,3.06,D
27.97287,96.12257,333.63,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,300.17,1.59,D
28.08764,96.54244,331.47,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,297.93,2.19,D
27.9257,95.34919,339.08,0.38,0.36,2025-09-29,0644,N20,nominal,2.0NRT,298.56,5.56,D
28.07699,95.90696,334.96,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,299.22,2.47,D
28.07641,95.90307,328.34,0.39,0.36,2025-09-29,0644,N20,low,2.0NRT,299.96,2.47,D
28.07868,95.53046,333.32,0.38,0.36,2025-09-29,0644,N20,nominal,2.0NRT,297.46,6.82,D
28.08344,95.44978,330.38,0.38,0.36,2025-09-29,0644,N20,nominal,2.0NRT,297.95,2.21,D
27.95157,94.44406,331.58,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,296.24,2.8,D
27.95487,94.44346,332.3,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,295.44,2.8,D
28.14994,95.64462,339.75,0.38,0.36,2025-09-29,0644,N20,nominal,2.0NRT,301.06,4.16,D
28.21955,94.82895,329.71,0.39,0.36,2025-09-29,0644,N20,nominal,2.0NRT,297.41,1.12,D
28.42626,92.42188,329.35,0.43,0.38,2025-09-29,0644,N20,nominal,2.0NRT,298.25,3.55,D
29.24624,91.86238,338.8,0.44,0.39,2025-09-29,0646,N20,nominal,2.0NRT,303.03,3.92,D
29.6384,91.30082,339.18,0.46,0.39,2025-09-29,0646,N20,nominal,2.0NRT,303.21,7.48,D
29.64455,91.29411,329.1,0.46,0.39,2025-09-29,0646,N20,low,2.0NRT,303.61,5.16,D
29.64367,91.2893,341.21,0.46,0.39,2025-09-29,0646,N20,nominal,2.0NRT,300.51,5.7,D
29.66894,91.327,329.4,0.46,0.39,2025-09-29,0646,N20,low,2.0NRT,303.33,3.98,D
33.61014,92.08491,330.29,0.4,0.37,2025-09-29,0646,N20,nominal,2.0NRT,298.4,2.07,D
36.42267,96.36388,340.17,0.45,0.39,2025-09-29,0646,N20,nominal,2.0NRT,307.87,4.63,D
39.05734,100.49242,342.76,0.5,0.49,2025-09-29,0648,N20,nominal,2.0NRT,303.57,2.22,D
39.84052,98.27534,331.22,0.39,0.44,2025-09-29,0648,N20,low,2.0NRT,306.02,2.16,D
39.87466,98.55061,337.57,0.4,0.45,2025-09-29,0648,N20,nominal,2.0NRT,304.24,2.5,D
39.8783,96.7675,345.47,0.5,0.41,2025-09-29,0648,N20,nominal,2.0NRT,303.49,8.68,D
21.91876,83.35466,331.06,0.51,0.66,2025-09-29,0824,N20,nominal,2.0NRT,290.9,5.94,D
22.04283,83.73723,326.69,0.54,0.68,2025-09-29,0824,N20,nominal,2.0NRT,289.9,6.82,D
22.04241,83.73192,336.93,0.54,0.68,2025-09-29,0824,N20,nominal,2.0NRT,289.62,6.82,D
23.57411,68.86798,333.62,0.42,0.37,2025-09-29,0826,N20,nominal,2.0NRT,295.23,3.01,D
24.85555,76.75037,331.76,0.42,0.45,2025-09-29,0826,N20,nominal,2.0NRT,294.04,5.28,D
21.93809,57.07653,335.62,0.72,0.76,2025-09-29,0826,N20,nominal,2.0NRT,294.01,3.05,D
22.67398,56.25028,339.52,0.78,0.78,2025-09-29,0826,N20,nominal,2.0NRT,304.74,5.29,D
22.67229,56.25415,344.48,0.78,0.78,2025-09-29,0826,N20,nominal,2.0NRT,305.45,10.69,D
6.2005,81.28098,335.33,0.46,0.47,2025-09-29,0820,N20,nominal,2.0NRT,294.89,2.03,D
