value,parameter.name,parameter.units,period.datetimeFrom.utc
300.0,pm25,µg/m³,2016-11-02T17:30:00Z
93.0,pm25,µg/m³,2016-11-03T10:45:00Z
93.0,pm25,µg/m³,2016-11-03T11:00:00Z
93.0,pm25,µg/m³,2016-11-03T11:15:00Z
93.0,pm25,µg/m³,2016-11-03T11:30:00Z
135.0,pm25,µg/m³,2016-11-03T11:45:00Z
136.0,pm25,µg/m³,2016-11-03T12:00:00Z
136.0,pm25,µg/m³,2016-11-03T12:15:00Z
136.0,pm25,µg/m³,2016-11-03T12:30:00Z
190.0,pm25,µg/m³,2016-11-03T12:45:00Z
192.0,pm25,µg/m³,2016-11-03T13:00:00Z
192.0,pm25,µg/m³,2016-11-03T13:15:00Z
192.0,pm25,µg/m³,2016-11-03T13:30:00Z
204.0,pm25,µg/m³,2016-11-03T13:45:00Z
205.0,pm25,µg/m³,2016-11-03T14:00:00Z
205.0,pm25,µg/m³,2016-11-03T14:15:00Z
205.0,pm25,µg/m³,2016-11-03T14:30:00Z
228.0,pm25,µg/m³,2016-11-03T14:45:00Z
229.0,pm25,µg/m³,2016-11-03T15:00:00Z
229.0,pm25,µg/m³,2016-11-03T15:15:00Z
229.0,pm25,µg/m³,2016-11-03T15:30:00Z
278.0,pm25,µg/m³,2016-11-03T15:45:00Z
280.0,pm25,µg/m³,2016-11-03T16:00:00Z
280.0,pm25,µg/m³,2016-11-03T16:15:00Z
280.0,pm25,µg/m³,2016-11-03T16:30:00Z
300.0,pm25,µg/m³,2016-11-03T16:45:00Z
300.0,pm25,µg/m³,2016-11-03T17:00:00Z
300.0,pm25,µg/m³,2016-11-03T17:15:00Z
269.0,pm25,µg/m³,2016-11-03T17:45:00Z
268.0,pm25,µg/m³,2016-11-03T18:00:00Z
268.0,pm25,µg/m³,2016-11-03T18:15:00Z
268.0,pm25,µg/m³,2016-11-03T18:30:00Z
285.0,pm25,µg/m³,2016-11-03T18:45:00Z
286.0,pm25,µg/m³,2016-11-03T19:00:00Z
286.0,pm25,µg/m³,2016-11-03T19:15:00Z
286.0,pm25,µg/m³,2016-11-03T19:30:00Z
356.0,pm25,µg/m³,2016-11-03T19:45:00Z
358.0,pm25,µg/m³,2016-11-03T20:00:00Z
358.0,pm25,µg/m³,2016-11-03T20:15:00Z
358.0,pm25,µg/m³,2016-11-03T20:30:00Z
366.0,pm25,µg/m³,2016-11-03T21:45:00Z
366.0,pm25,µg/m³,2016-11-03T22:00:00Z
366.0,pm25,µg/m³,2016-11-03T22:15:00Z
366.0,pm25,µg/m³,2016-11-03T22:30:00Z
437.0,pm25,µg/m³,2016-11-03T22:45:00Z
439.0,pm25,µg/m³,2016-11-03T23:00:00Z
439.0,pm25,µg/m³,2016-11-03T23:15:00Z
439.0,pm25,µg/m³,2016-11-03T23:30:00Z
388.0,pm25,µg/m³,2016-11-03T23:45:00Z
387.0,pm25,µg/m³,2016-11-04T00:00:00Z
387.0,pm25,µg/m³,2016-11-04T00:15:00Z
387.0,pm25,µg/m³,2016-11-04T00:30:00Z
433.0,pm25,µg/m³,2016-11-04T00:45:00Z
435.0,pm25,µg/m³,2016-11-04T01:00:00Z
435.0,pm25,µg/m³,2016-11-04T01:15:00Z
435.0,pm25,µg/m³,2016-11-04T01:30:00Z
434.0,pm25,µg/m³,2016-11-04T07:45:00Z
413.0,pm25,µg/m³,2016-11-04T08:00:00Z
413.0,pm25,µg/m³,2016-11-04T08:15:00Z
413.0,pm25,µg/m³,2016-11-04T08:30:00Z
462.0,pm25,µg/m³,2016-11-04T08:45:00Z
463.0,pm25,µg/m³,2016-11-04T09:00:00Z
463.0,pm25,µg/m³,2016-11-04T09:15:00Z
463.0,pm25,µg/m³,2016-11-04T09:30:00Z
468.0,pm25,µg/m³,2016-11-04T09:45:00Z
468.0,pm25,µg/m³,2016-11-04T10:00:00Z
